stateName,stateAbbr,winner,id,population,popBelow5,popBelow18,popAbove65,popFemale,popWhite,popBlack,popNative,popAsian,popHawaiian,popLatino,popForeignBorn,highSchoolHigher,bachelorHigher,housingUnits,homeownRate,households,personsPerHousehold,perCapita,medianHouseholdIncome,personsBelowPoverty,landArea,popPerSqMile,xcoordinates,ycoordinates,perCapitaCategory,
New Jersey,NJ,Democrat,34,8938175,6,22.5,14.7,51.2,73,14.8,0.6,9.4,0.1,19.3,21.2,88.1,35.8,3591588,65.6,3186418,2.71,36027,71629,10.4,7354.22,1195.5,-74.428055,40.438458,4,
New Mexico,NM,Democrat,35,2085572,6.6,24.1,15.3,50.5,82.8,2.5,10.4,1.7,0.2,47.7,9.8,83.6,25.8,912890,68.7,761938,2.66,23763,44927,20.4,121298.15,17,-106.342108,34.623012,1,
New York,NY,Democrat,36,19746227,6,21.4,14.7,51.5,70.4,17.6,1,8.5,0.1,18.6,22.1,85.2,33.2,8191040,54.2,7234743,2.61,32382,58003,15.3,47126.4,411.2,-74.645228,41.507548,3,
North Carolina,NC,Republican,37,9943964,6.1,23,14.7,51.3,71.5,22.1,1.6,2.7,0.1,9,7.6,84.9,27.3,4452334,66.4,3715565,2.53,25284,46334,17.5,48617.91,196.1,-79.667654,35.553334,2,
North Dakota,ND,Republican,38,739482,6.9,22.8,14.2,48.7,89.1,2.1,5.4,1.3,0.1,3.2,2.7,90.9,27.2,350560,66.1,287270,2.31,29732,53741,11.9,69000.8,9.7,-99.334736,47.375168,2,
Ohio,OH,Republican,39,11594163,6,22.8,15.5,51.1,83,12.6,0.3,2,0.1,3.5,4,88.5,25.2,5146933,67.5,4557655,2.47,26046,48308,15.8,40860.69,282.3,-82.749366,40.480854,2,
Oklahoma,OK,Republican,40,3878051,6.8,24.6,14.5,50.5,75.1,7.7,9,2.1,0.2,9.8,5.5,86.4,23.5,1699438,67.1,1444081,2.55,24208,45339,16.9,68594.92,54.7,-96.834653,35.59794,1,
Oregon,OR,Democrat,41,3970239,5.8,21.6,16,50.5,87.9,2,1.8,4.3,0.4,12.5,9.8,89.4,29.7,1700549,62,1516456,2.49,26809,50229,16.2,95988.01,39.9,-122.579524,44.732273,2,
Pennsylvania,PA,Republican,42,12787209,5.6,21.1,16.7,51.1,82.9,11.6,0.3,3.3,0.1,6.6,6,88.7,27.5,5590373,69.8,4958427,2.48,28502,52548,13.3,44742.7,283.9,-77.075925,40.463528,2,
Rhode Island,RI,Democrat,44,1055173,5.2,20.2,15.7,51.5,85.1,7.7,0.9,3.5,0.2,14,13.1,85.2,31.3,462625,61.2,410058,2.46,30469,56361,13.6,1033.81,1018.1,-71.448902,41.753318,3,
South Carolina,SC,Republican,45,4832482,6,22.4,15.8,51.4,68.3,27.8,0.5,1.5,0.1,5.4,4.8,84.5,25.1,2188129,69.1,1780251,2.55,23943,44779,18.1,30060.7,153.9,-81.032387,34.034551,1,
South Dakota,SD,Republican,46,853175,7.1,24.7,15.3,49.7,85.7,1.9,8.9,1.3,0.1,3.6,2.8,90.4,26.2,376319,68,323136,2.45,25740,49495,14.1,75811,10.7,-99.043799,44.047502,2,
Tennessee,TN,Republican,47,6549352,6.1,22.8,15.1,51.3,78.9,17.1,0.4,1.7,0.1,5,4.6,84.4,23.8,2869323,67.8,2475195,2.52,24409,44298,17.6,41234.9,153.9,-86.397772,35.795862,1,
Texas,TX,Republican,48,26956958,7.3,26.4,11.5,50.4,80,12.5,1,4.5,0.1,38.6,16.3,81.2,26.7,10426080,63.3,8886471,2.82,26019,51900,17.6,261231.71,96.3,-97.388631,30.943149,2,
Utah,UT,Republican,49,2942902,8.6,30.7,10,49.7,91.4,1.3,1.5,2.4,1,13.5,8.2,90.9,30.3,1022537,70.1,886770,3.12,23873,58821,12.7,82169.62,33.6,-111.90016,40.438987,1,
Vermont,VT,Democrat,50,626562,4.9,19.4,16.9,50.7,95,1.2,0.4,1.6,0,1.8,4.1,91.4,34.8,325789,71,257004,2.34,29167,54267,11.8,9216.66,67.9,-72.814309,44.081127,2,
Virginia,VA,Democrat,51,8326289,6.2,22.4,13.8,50.8,70.5,19.7,0.5,6.3,0.1,8.9,11.3,87.5,35.2,3446471,67.3,3022739,2.6,33493,63907,11.3,39490.09,202.6,-77.835857,37.750345,3,
Washington,WA,Democrat,53,7061530,6.3,22.7,14.1,50,80.7,4.1,1.9,8.2,0.7,12.2,13.2,90,31.9,2963141,63.2,2629126,2.54,30742,59478,13.4,66455.52,101.2,-121.624501,47.341728,3,
West Virginia,WV,Republican,54,1850326,5.5,20.5,17.8,50.6,93.7,3.6,0.2,0.8,0,1.5,1.4,83.9,18.3,884605,73.4,741390,2.43,22966,41043,17.9,24038.21,77.1,-80.820221,38.767195,1,
Wisconsin,WI,Republican,55,5757564,5.9,22.6,15.2,50.3,87.8,6.6,1.1,2.6,0,6.5,4.7,90.4,26.8,2648317,68.1,2288332,2.43,27523,52413,13,54157.8,105,-89.001006,43.728544,2,
Wyoming,WY,Republican,56,584153,6.5,23.7,14,49,92.7,1.6,2.7,1,0.1,9.8,3.3,92.4,24.7,268222,70.1,222846,2.5,28902,57406,11.5,97093.14,5.8,-107.008835,42.675762,2,18.19958
